_id,reviewText,PREDICTED_LICENSING,CORRECT
57291ba9507c69054da8ec26,The best The best puzzle collection on Android. The source-code is available and the same puzzles are also available on Mac/Windows/Linux/HTML/iOS/Palm/Nokia S60.,0,1
578937ac819cb7066ab3fb3b,"Good would like an option so ads blocking is only enabled in secret mode in the browser as I normally don't mind ads (people have to make a living some way!) other than that , excellent app !",1,0
578937be819cb7066ab3fb5b,Works great When I tried the pre-May 23 version on my S7 edge there was no noticeable ad blocking whatsoever.. but this version works perfectly so far...,1,0
5729112f507c69054da8e21b,"This runs waaay smoother than the \\Earthbound Battle Backgrounds\"\" app. Plus it's free,  and I would have been willing to to pay for this.\"",0,1
578945c8819cb706b00a7347,"Fun, free and spam free! I'd pay for this if it wasn't free. Simple uncluttered interface and lots of fun and challenging logic type puzzles. All the classics are here.",0,1
578937a2819cb7066ab3fb30,"Finally perfect blocker for samsubg browser galaxy s5 etc Finally. This works perfect. Some of my fav sites to browse were killing me with stupid slow loading, animated ads that even interrupted my music! I was so fed up... And this actually works! I dont even normally do reviews but im so happy right now just tested this and its stopped all ads immediately.",1,0
5729156b507c69054da8e5eb,"Fun and simple No ads, challenging but fun, great way to waste some time, easy to pick up and put down. Great little game!",1,1
572916ff507c69054da8e78d,"Good, but.... Where is the option for notification? This is a good app, but it's gonna be better if this app got that",0,1
5729c498507c690b8e0bd96b,Great game for the family and friends Great,0,1
5729bf3b507c690b8e0bd33a,Not ok After the update I have a lot of issues about rotate screen etc..,0,1
572917b7507c69054da8e869,Excellent. Secure.,0,1
5729161f507c69054da8e69e,"Excellent app Easy, lightweight, and it also helps you track battery life. Though it rounds up to the next hour after 30 mins (so when your phone's been unplugged for 1 hr 35 mins, it appears as 2 hrs in the notification bar). It's misleading sometimes so I suggest you adjust the round up to maybe 45 mins onwards? Otherwise, it's a great app.",0,1
57291250507c69054da8e38b,"BEST Fits picture to the screen and every screen has its own picture, color . I loved it :-.)",0,1
5729161f507c69054da8e69d,Great app! Does exactly what it says it does with no baloney. Great app!,0,1
57291acc507c69054da8eb5c,Awesome Just awesome. it will be great if u can put also a yahoo account I really don't check my Google _Ÿ˜…,0,1
5789443f819cb706b00a71ff,Good app and no ads in free version It was my favourite app ever.,1,1
572917e7507c69054da8e899,"Very awesome, works flawless, no ads",1,1
572913ab507c69054da8e4d3,"Too difficult for my tastes. I'm an avid gamer who likes a challenge now and again, but this game is challenging on an aggravating level. Health loss is common and unavoidable, scarce healing resources, hunger/ starvation comes on too quickly, scarce food resources, potions and scrolls are a crap-shoot so there is no way to strategize their use, and also permadeath. This game is kind of set up for you to lose. I enjoyed the other aspects though.",0,1
5729c24a507c690b8e0bd616,Open source... Better pay for JuiceSSH,1,1
5729bffa507c690b8e0bd3e0,How the hell do i uninstall it?,0,1
57291bee507c69054da8ec78,Love it Open source and works great.,1,1
5729c10b507c690b8e0bd4dc,Beautiful app Lot of functionality!,0,1
57290e2e507c69054da8def5,Way better than moon+ reader,0,1
572911e7507c69054da8e305,NICE!! LIKE IT,0,1
57291bc4507c69054da8ec4b,Excellent mix very nice combination of games. No ads or annoyances. Makes installing of many other games unnecessary. For years now!,1,1
57290e0f507c69054da8dec8,WOW.. Very nice!,0,1
57894e28819cb706b00a7bd1,Great Best file manager without adware,1,1
57290d98507c69054da8de2a,"Buggy, poor performance consistently, even on flagship phones. No excuse for a comic viewer that can't view comics.",0,1
5729c0e6507c690b8e0bd4ad,"Found this app after ES File Explorer became rubbish. I'm liking this so far, back to doing the stuff I want, and nothing more, in a tidy interface. No ads, no prompting me to install other apps or rate it.",1,1
57291c8a507c69054da8ed52,Omg I was so happy to see last Fm back what did they do its ruined bring back the old version,0,1
57291692507c69054da8e716,Ok,0,1
57290d9c507c69054da8de32,Perfect. Been using for too many years to remember. Great for reading manga,0,1
5729be7f507c690b8e0bd268,Unlock without lock button U can unlock ur phone automatically when u take it out from ur pocket by using this app. Gr8 app to save the lock button.,0,1
572919cc507c69054da8ea60,Brilliant. Stunning. Efficient. No words. With this you can remember literally any amount of any material. The interface of droid is so much better than the windows version too.,0,1
57291fbe507c69054da8f02d,awesome app nice cool wallpapers,0,1
57291896507c69054da8e951,Excellent Very secure and versatile since phone calls are allowed in secure mode as well!,0,1
57291d92507c69054da8ee29,Amazing This app is such a great addition to my suite of customization apps. It is evident that very much attention to detail was put forth. Very High Quality app.,0,1
57893b6e819cb7066ab3ff13,Grym app! DessvÃ_rre funkar inte american express! American express fungerar fortfarande inte efter senaste uppdateringen! (12/7-16),0,1
572916ff507c69054da8e791,Free and open source Use it all the time,1,1
5729c2d3507c690b8e0bd6bf,Its too laggy... The app is good but its ui is quite laggy which does not feel good plz fix..,0,1
5729c0eb507c690b8e0bd4b3,"Perfect for my use case In a phone, it's unusual to need a file manager. This one fits the role perfectly for everyone's basic needs. It's open source, uses material design and includes a couple of extras you might want if you're using a file manager after all: a text editor to view or modify text files and a ZIP archive manager.",1,1
5729c1e3507c690b8e0bd5ad,Works well Easy and simple to use. Missing ipv6 support. Will change to 5 star when fixed.,0,1
57291818507c69054da8e8d4,Very good Needs an update plz and customer support needs to reply to me,0,1
5729c16a507c690b8e0bd543,"Good design very easy to use Working flawlessly on my S5 for a couple of days now,always showing in the notification bar and it hasn't missed a beat,great performance even during heavy multitasking it has no negative impact on system resources,it has the right amount of functionality and usability it needs while keeping it fast and simple still",0,1
5729184b507c69054da8e904,privacy protection without equal Signal take communications privacy protection to the next level,0,1
5729183a507c69054da8e8f6,"When I use Google Now voice command to compose and send a text message, the text doesn't show up in the conversation in the app. App doesn't contain enough features such as \"Seenâœ…/Read\" or Android 6.0 fingerprint integration to lock the app.",0,1
57291c8f507c69054da8ed5e,Stopped scribbling 4-5 months ago And it still doesn't scrobble.,0,1
57291338507c69054da8e450,"Addictive but hard. Excellent game, no ads. Very difficult but that only increases the replay value. Thanks!",1,1
5729be52507c690b8e0bd249,"Awesome app, hoping for sync between devices... Great app, would like to have a widget. An open source, full featured app.",1,1
