_id,reviewText,PREDICTED_ANDROID VERSION,CORRECT
57894818819cb706b00a7624,Doesn't work anymore Nexus 10 using cyanogenmod 13,0,0
572916e3507c69054da8e76e,didnt work with cm13,0,0
5729c354507c690b8e0bd761,No more real-time CPU load notification Turns out the problem is only with MIUI 7. CM12.1 doesn't have this issue. So I re-rate it a 4 stars. Thanks.,0,0
57291de3507c69054da8ee8e,"ï¿_ï¿_ ï¿_ï¿_ï¿_ï¿_ï¿_ï¿_ï¿_ï¿_ï¿_ï¿_ï¿_ ï¿_ï¿_ï¿_ï¿_ï¿__ï¿_ï¿_ï¿__ï¿_ ï¿__ï¿__ï¿_ wallpapers ï¿_ï¿_ï¿_ï¿__ï¿_ï¿__ ï¿_ï¿_ï¿_ï¿_ï¿_ï¿_ï¿_ï¿_ï¿_ï¿_ï¿_ï¿_ï¿_ï¿_ï¿_ ï¿_ï¿_ï¿_ï¿_ï¿_ï¿_ï¿__ï¿_ï¿_, ï¿_ï¿_ï¿__ ï¿_ï¿__ï¿_ï¿_ï¿_ï¿__ï¿_ï¿_ï¿__ï¿_ï¿_ ï¿_ï¿_ï¿_ï¿_ï¿__ï¿_ï¿_ï¿__ï¿_. ï¿_ï¿_ï¿_ï¿_ï¿__ï¿_ï¿__ ï¿_ï¿_ï¿_ï¿_ï¿_ï¿_ ï¿_ï¿_ï¿_ï¿_ï¿_ï¿_ï¿_ ï¿_ï¿_ï¿__ï¿_ï¿_ï¿_ï¿_ï¿_ï¿_ï¿_ ï¿_ï¿__ï¿_ï¿_ï¿_ï¿__ï¿_ï¿_ï¿_ ï¿_ï¿_ï¿__ ï¿_ï¿_ï¿_ ï¿_ï¿__ï¿_ï¿_ï¿_ï¿__ï¿_ï¿_ï¿_ï¿__ï¿_ ï¿__ï¿_ï¿_ï¿_ï¿_ï¿_ï¿_ï¿_ï¿_ï¿_ï¿_ï¿_ï¿_ï¿_ï¿__ ï¿_ï¿_ï¿_ï¿_ï¿_ï¿_ ï¿_ï¿_ï¿_ï¿_ï¿_ï¿_ï¿_ ï¿_ï¿_ï¿__ï¿_ï¿_ï¿_ï¿_ï¿_ ï¿_ï¿_ï¿_ï¿_ï¿_ï¿_ desktop.",0,1
57894838819cb706b00a7646,"Will it ever be updated for Marshmallow and beyond? The app doze or app suspension features in Marshmallow and beyond make it such that the wallpaper will change for a few days and then stop until I fiddle with the app. Last update was November of 2015. Feels like an abandoned project, which is unfortunate because it's such a great way to keep your home and lock screens fresh and interesting.",1,1
5729c2bc507c690b8e0bd6b3,Great Nice,0,1
57290e2b507c69054da8def0,No updates No updates ? Please update for full immersion mode on android 4.4 kit kat.,0,0
578940f8819cb7066ab404f8,"Way, way, better than stock, once you swipe to find the extra options.",0,1
57291baf507c69054da8ec2f,"A fabulous, simple app The perfect games app. Good, complex, fair games. No ads. Free. Nothing you could want more from.",0,1
572919f5507c69054da8ea97,The most useful app on my phone. This is the most flexible and feature heavy app I know. Highly recommended if you want to memorise anything.,0,1
57291708507c69054da8e7a1,Perfect for GitHub,0,1
572915d5507c69054da8e628,Love it App works exactly as it should. Used it on my last 4 phones and still haven't encountered a single issue!,0,1
57291782507c69054da8e815,Good stuff,0,1
57291343507c69054da8e458,"i need to retry why theres nothing \"\"\"\"\"\"\"\"Retry\"\"\"\"\"\"\"\" button please reply or a respawn button please _Ÿ˜_",0,1
5729137e507c69054da8e4a9,A hard rouge light with what seems to be no microtransactions. But does have a donate button so thumbs up developers.,0,1
57291bae507c69054da8ec2c,Genius This is a treasure trove of brilliant puzzle games. A must have for puzzle enthusiasts. THIS IS THE RIGHT VERSION. Do not get the knock offs.,0,1
57893a34819cb7066ab3fd79,"Dare I use anything but chrome? Yes, DuckDuckGo offers a great comparable search engine yes there are many featured Google products that are much better but at least a discreet search option exist when you need the privacy",0,1
57291a74507c69054da8eb13,Super app Thanks for the great job!!!. I bought a popcorn for developer :D,0,1
57291825507c69054da8e8e4,How do i know if some one Read my msg ??,0,1
5729c3c1507c690b8e0bd83e,Like Nice app _Ÿ‘ç,0,1
57291c20507c69054da8ecc3,"Best I've used Sometimes play disconnects from player and a force stop must be done. I think ot is when trying to change speed. But all in all, an excellent player!",0,1
5729c374507c690b8e0bd770,Baik Good,0,1
57291c16507c69054da8ecad,"Simple, versatile and powerful! Does what most podcast apps do without the ads and bloat. Have uses this for years and has made following my podcasts a delight! Keeps getting better and sleeker with each update.",0,1
57291bde507c69054da8ec5a,Buggy I wanted this to work but within 2 days it stopped responding to controls and I had to force stop it,0,1
572912b8507c69054da8e3e6,Works great The app had a good amount of effects and feature. Although it does have the problem where it only show one wallpaper on very rare occasions on nova launcher. It could use a better looking UI but that's nothing to deduct a star for. Using a Nexus 7 (2013) and Nexus 6 with Nova Launcher.,0,1
572911c3507c69054da8e2dc,NEEDS AN UPDATE... Please support lollipop..,1,1
57291dc4507c69054da8ee6a,Conflict with Marshmallow's Doze feature? I've noticed that the background hasn't been updating automatically lately. Is this a problem with Muzei and Doze?,1,1
5729135c507c69054da8e478,"Amazing It looks like a simple game but it isn't, you start playing and it's addictive, has hard bosses and it's different each time. And there's so many items you can get that help in some way.",0,1
57893e78819cb7066ab40297,"The f with the degradation, dude? Yeah dude, wth?",0,1
57291ec8507c69054da8ef99,Wow !!! Real Hd walpapers....,0,1
5729149f507c69054da8e5af,"Super!!! Persalmente el mejor juego, ademas corre en cuaquier mÃ_vil!!!",0,1
5789499f819cb706b00a77ba,Crashes after clicking on images Needs an update,0,1
5729138f507c69054da8e4b2,"Okey game Meh. If you die then you die, no extra lives, start all over.",0,1
572912d0507c69054da8e405,An oldie but a goodie A different background for each home screen. Double tap to update pics. Genius! And it even works on Lollipop.,1,1
57290e3e507c69054da8df02,Simple and fast Has the most intuitive controls and options for custom settings :-),0,1
5729163d507c69054da8e6b9,Very useful Very useful if you want to keep your apps in check.,0,1
5729197b507c69054da8ea0a,"Deleted my cards! On two separate occasions, all of my cards were deleted. I had 200+ flashcards stored. I loved this app up until then. Would not recommend unless you want all your cards gone after a few weeks.",1,0
57291967507c69054da8ea01,Good job guys! The UI needs a little bit of love though.,0,1
572917b2507c69054da8e862,"Since a few weeks signal is consuming incredible much power. I don't know what's wrong,my phone used to run about 1,5 days on one charge. Now it runs since 7 h and has only 20 % power left. The overview of power consumption says, that signal used around 40 % of that power. Can somebody instruct me what to do? Am I being spied? ^^",0,1
57290fec507c69054da8e074,Connection error after moto e upgrade to Android 6 Was using it smoothly since one year but after software upgrade last night xabber can't connect to my corporate id. Tried multiple times after reinstall. Tested with different email ID but same error.,1,1
57290f27507c69054da8dfc4,"4/5 rans out of memory on larger comics, and sometimes zoom chages between pages, other thab that, works fine",0,1
57291b0d507c69054da8eb98,The best app but still needs just little improve,0,1
57894c8f819cb706b00a7ac3,This is the best lock screen I've ever used. It's pretty customizable and works simply and sensibly. I refused to use any other,0,1
57291ab3507c69054da8eb4a,"_›ÑƒÑ‡Ñˆ_µ_µ ÑÅÑ€_µ_´_¸ _¿___´___±__Ñ‹Ñ… _”_µ__ÑÅÑ‚___¸Ñ‚_µ_»ÑŒ____ _º_»_°ÑÅÑÅ_____µ _¿Ñ€_¸_»___¶_µ___¸_µ! _¡Ñ‚_¸_»ÑŒ__Ñ‹__ _´_¸_·_°____, __ Ñ†_µ_»____ ___µ_¿_»__Ñ…____ UX (__ _¿_°Ñ€_µ ___µÑÅÑ‚ ÑƒÑÅ_»___¶__Ñ‘__ - ___°_¿Ñ€_¸___µÑ€, Ñƒ_´_°_»_µ___¸_µ ___°_»Ñ_Ñ‚). _’Ñ‹_¿___»__Ñè_µÑ‚ _»_¸ÑˆÑŒ _¿__ÑÅÑ‚_°___»_µ____Ñ‹_µ _·_°_´_°Ñ‡_¸, ___¸Ñ‡_µ____ _»_¸Ñˆ___µ____, ___¸_º_°_º____ Ñ€_µ_º_»_°__Ñ‹.",0,1
57894134819cb7066ab40558,"Excellent app, does what it says.",0,1
5729143e507c69054da8e557,You should be able to have your progress saved on other devices or atleast have your achaivements transfered so you can have the huntress unlocked on all hour devices,0,1
572912ff507c69054da8e42e,"Just stopped working. Had updated version and everything, just decided to stop working randomly.",0,1
5729c062507c690b8e0bd42a,widget not working for me ..it crash everytime ichoose widget..im on kitkat 4.4.2 lg..but still i donated..hope theres a fix,1,1
572911b6507c69054da8e2cf,Works. Thank you very much. I've been looking for something like this.,0,1
57290da4507c69054da8de3a,Someone help me read comics in my memory before I delete this app,0,1
5729befe507c690b8e0bd2ff,"Love the app, desperately needs nexus 6p fingerprint support.",0,1
57894c1d819cb706b00a7a57,Impossible Uninstall Incredibly hard to uninstall and didn't really work as a lock screen.,0,1
57291c3b507c69054da8ecd1,"Used to work perfectly, now won't change the current scrobbling track unless the screen is on. Using Play Music on S6 Edge+ running marshmallow",1,1
5729177b507c69054da8e807,Not truly safe Because using some Google libraries.,0,1
57894bb6819cb706b00a79e0,Love it Cant believe the developer made an ad-free software. The app explains everything leaving no doubt. Works great with Android. Will donate at least one ice cream within the next few days if it keeps the great job!,0,1
572914a9507c69054da8e5b8,Love Hate This game is so much fun but is hard as heck to beat!,0,1
57290da9507c69054da8de40,"Crushes a lot on lollipop Stated after the update. Reloaded to check if android optimized it improperly but no, it wasn't the problem.",1,1
5729c29a507c690b8e0bd68a,"suddenly weather stopped working. everything about daskclock is super useful. the weather is or as now \"\"\"\"\"\"\"\"was\"\"\"\"\"\"\"\" a great deal...its gone \"\"\"\"\"\"\"\"no data available\"\"\"\"\"\"\"\" state. plz do fix it.",0,1
572917e9507c69054da8e89d,"Easy, simle to use.",0,1
57291eac507c69054da8ef6b,"Superb !! Fabulous !!! I am keen interested in wallpapers on my every new mobile. After reviewing almost \"\"\"\"\"\"\"\"200 wallpapers-apps\"\"\"\"\"\"\"\" i finally got ultimate app. Special thanks for dev...._Ÿ‘Œ_Ÿ‘Œ_Ÿ‘Œ",1,0
57291d96507c69054da8ee2f,Not working on marshmallow This used to work great but since upgrading to marshmallow it won't auto cycle through new wallpapers on multiple different extensions. It's stuck until I open the app or reinstall the extensions.,1,1
57290dcf507c69054da8de74,NotSoBad Works well for me for the most part. Had some issues opening a few files but still worth it.,0,1
5729158b507c69054da8e5ff,"It's not something you want to get bored off Just asthe title said, really immersive and fun, that you'll want to play again, again, and again.",0,1
5729c035507c690b8e0bd40a,"Lollipop repeating one notification many times Was working fine on 4.4.4 but when upgraded on 5.1, one whatsapp notification is constantly being repeated many times. Uninstalled till a solution is found",1,1
572917ef507c69054da8e8a7,"Great app Works well, haven't had any issues.",0,1
572913e2507c69054da8e50a,Amazing This game is amazing,0,1
5729163d507c69054da8e6b8,Used to work Worked prior to new phone. Is rooted but error showed that phone isn't rooted. Running 5.1.1.,1,1
57893c43819cb7066ab40024,Good It's so good But there's a pronlem,0,1
